1,643,457
2,843,388
3,320,307
4,1151,202
5,672,143
6,478,213
7,327,462
8,1058,89
9,135,374
10,147,225
11,288,191
12,987,287
13,1099,319
14,396,145
15,299,393
16,228,184
17,56,177
18,527,158
19,615,162
20,218,385
21,972,369
22,74,50
23,900,309
24,916,220
25,1030,195
26,322,222
27,785,448
28,839,128
29,909,160
30,1215,377
31,703,523
32,316,390
33,596,472
34,223,113
35,94,323
36,1143,130
37,539,93
38,651,313
39,115,49
40,564,280
41,286,137
42,450,385
43,285,250
44,843,341
45,110,307
46,752,407
47,1014,416
48,167,428
49,1055,294
50,600,326
51,599,377
52,804,123
53,976,110
54,318,137
55,701,100
56,1089,357
57,625,39
58,752,226
59,131,111
60,720,181
61,923,118
62,923,271
63,881,437
64,244,311
65,1185,303
66,606,223
67,411,86
68,553,344
69,961,174
70,499,443
71,520,223
72,1036,367
73,1129,389
74,446,70
75,1117,91
76,1215,180
77,244,148
78,463,108
79,767,478
80,706,450
81,366,137
