1,632,446
2,837,375
3,325,295
4,1141,211
5,656,139
6,463,200
7,311,450
8,1044,76
9,121,384
10,133,210
11,276,195
12,981,275
13,1088,326
14,388,149
15,286,402
16,215,193
17,63,184
18,506,145
19,600,170
20,207,372
21,959,354
22,73,36
23,878,319
24,898,229
25,1015,183
26,323,231
27,777,434
28,833,136
29,898,168
30,1205,384
31,692,511
32,329,390
33,567,459
34,220,104
35,89,331
36,1134,138
37,525,78
38,641,324
39,121,56
40,549,266
41,277,119
42,436,374
43,268,257
44,809,329
45,105,295
46,741,390
47,999,403
48,143,414
49,1045,280
50,581,314
51,583,365
52,778,128
53,977,116
54,315,138
55,681,105
56,1075,346
57,595,52
58,740,238
59,109,100
60,708,168
61,913,124
62,900,258
63,869,443
64,228,321
65,1186,300
66,595,231
67,396,94
68,536,351
69,947,181
70,494,431
71,511,231
72,1041,374
73,1115,397
74,523,79
75,1103,98
76,1201,186
77,223,146
78,445,117
79,754,472
80,701,439
81,361,127
